gisco_id,name,registered,turnout,invalid,blank,Akacije,DeSUS,KDS,LDS,Lipa,LZ�PV,LPR,NPS,NSi,SDS,SLS+SMS,SNS,SD,SSN,ZARES,ZP,Zeleni
SI_4001,Ko�evje,15102,9126,124,0,0,388,18,440,74,22,7,13,156,1571,582,442,4197,42,1012,6,32
SI_4002,Ribnica,11494,7547,136,0,0,426,104,165,87,24,16,0,312,3579,223,369,1376,19,671,20,20
SI_4003,Grosuplje,29244,20143,294,0,0,717,78,991,226,83,62,24,653,10139,535,865,3990,70,1297,42,77
SI_4004,Litija,16592,10895,257,0,0,748,39,333,142,53,14,17,233,3398,837,710,2519,33,1510,15,37
SI_4005,LJ-Moste- Polje I,21933,14963,195,0,0,921,82,698,309,73,64,19,432,4234,398,670,5175,37,1572,24,60
SI_4006,LJ-Moste- Polje II,17522,10805,147,0,0,658,30,618,566,58,35,13,205,1695,103,325,5095,26,1170,14,47
SI_4007,LJ-Moste- Polje III,20708,13511,171,0,0,769,53,724,458,60,29,22,367,2887,152,386,5741,42,1557,33,60
SI_4008,LJ- Be�igrad I,23437,16944,154,0,0,1011,50,629,318,73,46,20,527,4351,185,498,6338,28,2611,36,69
SI_4009,LJ- Be�igrad II,22334,15134,160,0,0,784,38,706,321,92,38,23,418,2948,111,398,6345,57,2608,29,58
SI_4010,Dom�ale I,22095,15427,289,0,0,751,85,789,287,57,47,19,894,4712,684,827,4379,44,1433,52,78
SI_4011,Dom�ale II,20973,14584,203,0,0,789,51,640,274,64,38,15,589,3887,268,701,4740,35,2157,56,77
SI_5001,�entjur,16792,9605,234,0,0,699,30,293,85,26,50,0,347,3771,1248,581,1554,20,607,21,39
SI_5002,Celje I,29030,17527,374,0,0,1581,84,658,299,50,92,0,303,5356,2129,1043,3869,40,1508,47,94
SI_5003,Celje II,23981,14725,240,0,0,1230,48,531,194,51,41,0,141,3161,2259,618,4535,39,1507,23,107
SI_5004,�alec I,17453,11301,228,0,0,1746,23,490,136,34,21,0,235,3471,295,698,2373,32,1442,12,65
SI_5005,�alec II,17907,12061,207,0,0,1191,64,595,157,51,30,0,631,3870,505,694,2894,51,1060,12,49
SI_5006,Mozirje,13767,9154,148,0,0,854,23,280,140,31,34,0,311,2970,1668,598,1463,24,551,5,54
SI_5007,Velenje I,17320,11165,146,0,0,861,23,317,131,30,34,0,189,2714,169,517,4123,40,1838,0,33
SI_5008,Velenje II,17741,11426,203,0,0,973,32,388,119,30,41,0,421,4037,240,723,3214,47,919,0,39
SI_5009,Slovenj Gradec,18103,11997,224,0,0,2233,25,326,243,22,66,0,262,2876,531,1019,3406,22,706,0,36
SI_5010,Ravne na Koro�kem,22336,14566,178,0,0,858,82,629,262,32,56,0,292,4898,232,922,4148,33,1850,41,53
SI_5011,Dravograd- Radlje,21531,13431,294,0,0,1082,37,649,353,34,96,0,144,3709,678,1361,4261,25,648,0,60
SI_6001,�rnomelj- Metlika,23046,13782,301,0,0,1256,35,360,99,29,27,0,474,2595,2603,575,4379,54,927,17,51
SI_6002,Novo mesto I,25866,15744,371,0,0,1191,64,740,187,76,33,0,560,6247,1138,1229,2620,38,1148,9,93
SI_6003,Novo mesto II,25537,16769,267,0,0,1308,76,959,191,75,28,0,443,4766,221,985,5035,27,2249,23,116
SI_6004,Trebnje,15838,10089,232,0,0,1672,21,523,77,39,21,0,820,2856,401,747,2065,25,544,8,38
SI_6005,Bre�ice,21429,11794,177,0,0,960,39,672,123,46,46,0,127,4516,356,730,2637,25,1272,8,60
SI_6006,Kr�ko,24176,13968,308,0,0,886,35,518,211,37,23,0,316,3572,2853,909,3088,25,1139,7,41
SI_6007,Sevnica,14849,9070,172,0,0,773,67,268,105,12,86,0,186,2575,1828,383,1655,13,912,8,27
SI_6008,La�ko,15643,9729,234,0,0,729,36,310,137,22,13,0,521,2534,372,475,3476,15,818,9,28
SI_6009,Hrastnik,8764,5599,117,0,0,626,60,1464,128,7,7,0,28,721,59,295,1652,4,409,8,14
SI_6010,Trbovlje,15056,9909,178,0,0,722,22,1002,326,12,10,0,106,1591,75,1455,3387,11,944,38,30
SI_6011,Zagorje,14390,9602,194,0,0,628,21,2459,130,28,9,0,244,1727,296,398,2307,14,1104,19,24
SI_7001,�marje pri Jel�ah,27486,14484,317,0,0,1919,53,408,199,36,58,0,992,4997,563,920,3037,65,863,11,46
SI_7002,Slovenska Bistrica,29471,17206,328,0,0,1533,43,590,284,39,132,0,296,5527,2098,1083,3405,54,1654,31,109
SI_7003,Slovenske Konjice,18963,11152,175,0,0,943,65,486,164,34,41,0,387,4072,589,880,1967,26,1241,16,66
SI_7004,Ru�e,13280,8138,180,0,0,1397,21,989,157,25,137,0,97,2037,209,667,1635,31,501,14,41
SI_7005,Maribor I,18397,11451,176,0,0,948,31,405,344,31,222,0,149,3035,955,664,3170,31,1182,19,89
SI_7006,Maribor II,20784,12877,193,0,0,1137,40,786,683,30,558,0,192,3810,409,843,3065,40,977,27,87
SI_7007,Maribor III,18975,11216,272,0,0,790,49,306,539,24,184,0,175,3129,1785,627,2381,36,827,26,66
SI_7008,Maribor IV,15717,9290,114,0,0,851,44,464,256,35,169,0,154,2104,131,360,3143,32,1340,14,79
SI_7009,Maribor V,17626,10111,187,0,0,1130,37,431,409,34,231,0,168,2369,209,599,3165,41,982,28,91
SI_7010,Maribor VI,17856,11277,149,0,0,1107,29,587,566,33,232,0,126,2743,294,546,3610,23,1142,16,74
SI_7011,Maribor VII,16498,9349,185,0,0,1130,39,300,433,28,417,0,130,2199,134,489,2801,30,954,9,71
SI_8001,Lendava,22415,11357,289,0,0,599,77,937,122,42,32,0,1175,2936,1847,573,1951,33,580,98,66
SI_8002,Ormo�,14881,8731,162,0,0,788,73,275,84,26,24,0,986,2635,158,750,1386,17,1282,3,82
SI_8003,Ljutomer,15747,9179,196,0,0,1953,29,544,85,13,27,0,212,2179,941,462,2025,23,415,46,29
SI_8004,Murska Sobota I,26133,14925,247,0,0,780,71,1737,185,82,124,0,822,4063,1075,1294,3561,70,713,68,33
SI_8005,Murska Sobota II,25725,16158,286,0,0,653,183,1685,144,41,26,0,445,4162,1721,990,4619,37,1059,64,43
SI_8006,Gornja Radgona,18318,10724,221,0,0,795,69,358,106,51,33,0,347,2944,359,798,3752,25,777,43,46
SI_8007,Lenart,15318,8724,212,0,0,556,46,1272,106,19,72,0,260,2874,1081,468,1402,30,292,16,18
SI_8008,Pesnica,16776,9690,206,0,0,734,24,300,240,16,157,0,131,3503,1196,578,1678,21,832,39,35
SI_8009,Ptuj I,20913,11605,181,0,0,539,56,599,204,35,121,0,607,5374,547,778,1919,36,533,6,70
SI_8010,Ptuj II,18096,10808,151,0,0,833,16,634,194,19,140,0,205,3397,232,701,3237,35,821,18,175
SI_8011,Ptuj III,20282,11021,232,0,0,806,30,592,124,24,81,0,439,4203,996,721,2260,39,400,11,63
