gisco_id,name,registered,turnout,invalid,blank,LDS in DeSUS,N.Si,SEG,SMS in ZELENI,SDS,NSD,SSN,SJN,DS,GŽS,SNS,ZLSD,SLS
SI_4001,Kočevje,15364,4289,239,0,996,588,19,68,578,19,16,61,11,46,243,932,473
SI_4002,Ribnica,10308,4229,145,0,388,1132,15,22,714,10,12,58,5,33,126,357,1212
SI_4003,Grosuplje,25962,7993,352,0,1125,2288,30,105,2181,38,30,182,11,79,224,636,712
SI_4004,Litija,15744,4400,279,0,880,956,23,102,717,7,15,108,3,38,205,451,616
SI_4005,LJ-Moste- Polje I,20791,6090,319,0,1200,1552,27,138,1180,18,28,232,10,69,259,760,298
SI_4006,LJ-Moste- Polje II,17676,3571,225,0,815,688,27,109,465,20,17,238,5,33,185,663,81
SI_4007,LJ-Moste- Polje III,20500,5731,290,0,1373,1168,38,126,916,14,37,257,4,44,215,1080,169
SI_4008,LJ- Bežigrad I,23490,7220,244,0,1500,1771,39,166,1257,32,22,384,16,53,227,1219,290
SI_4009,LJ- Bežigrad II,22291,6710,242,0,1669,1225,57,143,1052,21,18,397,8,65,267,1402,144
SI_4010,Domžale I,20423,6267,363,0,1065,2111,21,104,1020,16,20,208,18,78,255,572,416
SI_4011,Domžale II,19668,6099,273,0,1265,1789,32,119,955,23,18,311,21,41,256,790,206
SI_5001,Šentjur,16133,3626,221,0,668,688,19,121,591,10,10,86,12,49,190,321,640
SI_5002,Celje I,27809,7074,527,0,1526,1361,32,153,1337,29,20,180,23,69,387,674,756
SI_5003,Celje II,24122,6419,467,0,1566,983,28,102,1043,16,6,215,11,61,256,997,668
SI_5004,Žalec I,16581,4676,262,0,1176,855,18,97,861,15,16,167,13,51,303,507,335
SI_5005,Žalec II,17249,5157,255,0,1204,1016,26,80,983,19,10,142,17,60,296,501,548
SI_5006,Mozirje,13334,4757,308,0,863,1118,28,99,858,8,8,120,12,60,255,345,675
SI_5007,Velenje I,17164,4282,244,0,1015,731,20,110,699,9,30,129,8,61,198,811,217
SI_5008,Velenje II,17251,4768,291,0,962,988,24,107,957,16,46,126,16,58,261,605,311
SI_5009,Slovenj Gradec,17354,4071,286,0,881,809,27,89,651,11,20,160,8,50,249,607,223
SI_5010,Ravne na Koroškem,21746,6261,321,0,1289,1300,33,112,1244,20,16,194,36,81,385,912,318
SI_5011,Dravograd- Radlje,20835,4764,347,0,977,751,22,120,810,16,14,125,59,66,395,567,495
SI_6001,Črnomelj- Metlika,21683,6514,373,0,1681,1291,37,125,807,22,11,68,45,73,353,860,768
SI_6002,Novo mesto I,24517,7540,567,0,1851,1752,42,122,1218,19,20,181,15,84,383,712,574
SI_6003,Novo mesto II,24016,7076,456,0,1748,1905,34,100,1115,10,8,156,15,55,289,671,514
SI_6004,Trebnje,14635,4201,248,0,710,1712,17,52,483,26,6,69,8,27,144,315,384
SI_6005,Brežice,20067,4961,309,0,1297,788,13,105,1013,16,15,200,10,58,267,506,364
SI_6006,Krško,22924,5850,363,0,1241,1285,25,96,931,18,11,231,16,52,328,578,675
SI_6007,Sevnica,14872,3953,274,0,814,926,16,41,701,11,14,111,14,48,194,342,447
SI_6008,Laško,15266,4222,265,0,882,859,29,102,685,21,15,94,8,46,223,577,416
SI_6009,Hrastnik,8584,2403,210,0,926,161,14,55,205,76,7,50,7,28,186,382,96
SI_6010,Trbovlje,14919,4370,268,0,1267,538,26,84,515,22,11,161,12,41,576,713,136
SI_6011,Zagorje,13939,4100,260,0,1323,728,12,92,513,16,8,93,6,44,209,467,329
SI_7001,Šmarje pri Jelšah,26163,5749,277,0,1013,841,29,112,865,17,18,117,17,63,266,455,1659
SI_7002,Slovenska Bistrica,28080,7054,397,0,1342,1325,44,289,1412,11,16,213,12,101,449,712,731
SI_7003,Slovenske Konjice,18173,4800,254,0,893,916,55,119,1045,14,12,114,7,57,286,408,620
SI_7004,Ruše,12874,3019,183,0,653,469,15,69,558,11,10,142,14,43,253,367,232
SI_7005,Maribor I,18133,4634,273,0,1006,748,18,115,809,6,11,181,15,56,330,726,340
SI_7006,Maribor II,19525,4521,220,0,939,897,31,96,879,12,16,174,8,65,370,482,332
SI_7007,Maribor III,18353,3877,257,0,703,820,24,74,735,8,12,127,13,51,300,342,411
SI_7008,Maribor IV,16005,4353,201,0,1017,831,31,102,683,13,7,211,8,65,238,834,112
SI_7009,Maribor V,17365,4303,285,0,1072,713,34,104,682,13,11,165,13,65,297,706,143
SI_7010,Maribor VI,18346,4637,266,0,1052,722,26,147,804,10,16,250,8,49,356,780,151
SI_7011,Maribor VII,16678,3971,276,0,953,629,27,89,656,6,15,167,9,66,328,628,122
SI_8001,Lendava,20715,4677,330,0,1120,1018,33,311,613,19,17,64,9,58,207,359,519
SI_8002,Ormož,14319,4150,244,0,935,1099,19,121,461,7,14,78,18,59,250,292,553
SI_8003,Ljutomer,15301,3995,229,0,1037,863,23,107,485,8,8,99,17,40,215,310,554
SI_8004,Murska Sobota I,25355,7231,338,0,1918,1077,44,200,1009,24,35,139,25,85,462,649,1226
SI_8005,Murska Sobota II,25006,7016,421,0,1730,1522,36,176,913,24,6,136,14,79,338,804,817
SI_8006,Gornja Radgona,17459,4167,240,0,826,1025,22,125,409,13,17,102,10,50,200,646,482
SI_8007,Lenart,14490,3144,205,0,585,709,19,56,532,14,8,68,15,40,194,157,542
SI_8008,Pesnica,15872,3420,219,0,665,721,27,92,657,13,7,94,12,43,243,323,304
SI_8009,Ptuj I,19930,4907,275,0,867,1197,26,136,830,10,16,127,13,74,306,216,814
SI_8010,Ptuj II,18001,4439,225,0,1140,850,12,153,818,9,6,177,7,54,230,524,234
SI_8011,Ptuj III,19462,4547,296,0,849,1015,16,181,724,8,12,106,13,54,268,225,780
SI_9999,Votes outside of a municipality,0,1609,19,0,207,757,30,67,232,3,11,20,31,21,27,123,61
