gisco_id,name,registered,turnout,invalid,blank,SA,DSD,DeSUS,DL,GŽS,LDS,PS,NPS,NSi,SD,SDS,SNS,SLS,SMS,SSN,SEM-Si,SHS,TRS,Zares,ZS
SI_5004,Žalec I,17711,11928,191,0,0,66,1658,1007,18,172,2549,0,319,1040,3783,222,593,66,0,11,0,123,45,65
SI_5005,Žalec II,18361,12392,184,0,0,74,1265,1207,33,184,2759,0,764,1066,3595,206,737,67,0,20,0,145,32,54
SI_5006,Mozirje,13816,9287,135,0,0,40,511,1021,8,71,1572,0,483,572,2998,126,1540,49,0,14,0,95,24,28
SI_5007,Velenje I,16965,11536,243,0,0,48,899,720,15,113,3414,0,306,1604,2499,137,1275,32,0,14,0,161,28,28
SI_5008,Velenje II,17727,12273,255,0,0,55,940,605,12,183,2475,0,389,1073,3412,191,2459,32,0,11,0,122,34,25
SI_5009,Slovenj Gradec,18239,12225,212,0,0,55,815,1206,14,84,3378,0,507,1181,3152,410,752,55,0,17,0,233,116,38
SI_5010,Ravne na Koroškem,22108,14349,211,0,0,120,1125,1469,21,151,3375,0,533,1782,4261,343,572,68,0,19,0,175,62,62
SI_5011,Dravograd- Radlje,21472,13428,226,0,0,116,1274,1519,35,171,2433,0,426,1086,4188,575,940,79,0,20,0,197,98,45
SI_6001,Črnomelj- Metlika,23328,14815,310,0,0,107,1132,649,20,559,4850,0,1066,1299,2877,225,1259,173,0,18,0,139,95,37
SI_6002,Novo mesto I,26427,17258,365,0,0,165,1033,1251,118,307,2907,0,985,1150,6639,533,1357,145,0,28,0,134,73,68
SI_6003,Novo mesto II,25859,17753,308,0,0,113,1482,1476,40,246,5648,0,899,1420,4348,482,739,78,0,27,0,189,182,76
SI_6004,Trebnje,16265,10689,218,0,0,417,499,813,36,178,2105,0,749,734,3604,202,795,166,0,13,0,110,16,34
SI_6005,Brežice,21554,12503,167,0,0,115,855,711,22,243,3553,0,366,930,4440,227,463,118,0,7,0,172,56,58
SI_6006,Krško,24196,14525,228,0,0,92,891,951,71,222,3253,0,518,919,3704,400,2895,113,0,14,0,155,63,36
SI_6007,Sevnica,14837,9332,180,0,0,112,894,540,15,103,1912,0,251,552,3079,182,1269,51,0,6,0,137,17,32
SI_6008,Laško,15594,9881,232,0,0,51,797,883,23,145,1427,0,590,2138,2585,134,611,66,0,11,0,121,35,32
SI_6009,Hrastnik,8527,5568,131,0,0,77,581,369,7,489,2190,0,53,609,674,103,127,79,0,8,0,52,11,8
SI_6010,Trbovlje,14772,9711,196,0,0,160,826,571,22,229,3282,0,219,1198,1821,685,194,31,0,11,0,140,102,24
SI_6011,Zagorje,14339,9692,182,0,0,95,884,925,41,282,3051,0,412,1054,1687,166,449,111,0,21,0,200,102,30
SI_7001,Šmarje pri Jelšah,27818,15895,372,0,0,73,1505,1214,19,176,3046,23,1085,1124,5368,318,1196,62,20,29,18,140,56,51
SI_7002,Slovenska Bistrica,29978,18544,288,0,0,78,1735,1750,17,127,3121,27,551,1972,6241,281,1741,123,21,35,24,173,163,76
SI_7003,Slovenske Konjice,19151,12286,245,0,0,66,1017,987,10,111,2317,17,639,960,4167,248,1119,55,27,13,0,93,141,54
SI_7004,Ruše,13257,8236,217,0,0,62,920,899,11,394,1386,0,189,852,2357,188,489,113,9,11,8,86,18,27
SI_7005,Maribor I,18703,11906,177,0,0,93,981,1274,11,143,2520,17,288,1534,3235,297,831,152,7,16,21,214,38,57
SI_7006,Maribor II,21000,13595,260,0,0,82,1244,1447,103,125,2697,15,349,1495,3983,384,940,116,16,18,9,147,100,65
SI_7007,Maribor III,19121,11815,260,0,0,75,871,1099,30,85,2004,68,301,1037,3750,263,1612,108,10,15,10,138,25,54
SI_7008,Maribor IV,15286,9031,120,0,0,58,695,876,9,109,2591,0,215,1341,2059,153,300,78,13,26,11,265,47,65
SI_7009,Maribor V,17659,10177,248,0,0,46,1019,951,26,92,2707,0,242,1241,2531,263,359,93,28,22,15,183,54,57
SI_7010,Maribor VI,17432,11158,218,0,0,62,1059,1186,10,103,2969,0,193,1461,2767,269,404,123,12,13,9,194,42,64
SI_7011,Maribor VII,15952,9183,226,0,0,63,971,860,8,75,2330,0,194,1154,2423,208,337,62,8,13,12,154,37,48
SI_8001,Lendava,22392,11688,224,0,0,96,659,660,15,348,2113,0,1033,786,2647,159,2633,92,12,25,0,77,81,28
SI_8002,Ormož,14992,9356,169,0,0,70,864,856,10,256,1755,0,709,533,2888,532,495,53,11,6,0,76,28,45
SI_8003,Ljutomer,15817,9710,234,0,0,42,1801,713,26,289,1434,0,421,832,1991,168,1412,127,9,7,0,91,77,36
SI_8004,Murska Sobota I,26031,14511,216,0,0,64,889,859,28,520,2239,0,448,2505,2969,386,2902,117,23,38,0,115,150,43
SI_8005,Murska Sobota II,25742,16240,238,0,0,60,821,1379,57,583,3545,0,857,2118,3286,311,2563,91,8,15,0,187,81,40
SI_8006,Gornja Radgona,18358,11007,234,0,0,59,971,1030,22,272,1702,0,580,1543,2653,298,983,156,13,18,0,118,308,47
SI_8007,Lenart,15728,9568,185,0,0,53,554,1092,22,458,1139,0,369,736,3017,219,1111,410,11,11,0,119,20,42
SI_8008,Pesnica,16835,10021,246,0,0,55,738,781,16,214,1408,0,300,830,3818,254,528,637,19,10,0,64,32,71
SI_8009,Ptuj I,21275,13480,235,0,0,49,936,1354,22,345,1748,0,788,776,4252,313,2376,74,13,16,0,102,35,46
SI_8010,Ptuj II,17935,11316,162,0,0,60,866,1091,30,239,2477,0,399,1231,3449,209,614,65,13,0,0,212,83,116
SI_8011,Ptuj III,20499,12023,291,0,0,68,1030,1127,36,341,1527,0,485,802,4225,211,1483,178,9,0,0,85,74,51
