gisco_id,name,registered,turnout,invalid,blank,SA,DeSUS,KDS,LDS,Lipa,LPR,NPS,NSi,SDS,SLS-SMS,SNS,SD,SSN,Zares,ZS
SI_3004,LJ-Vič- Rudnik II,15917,10773,106,0,0,542,56,506,191,19,17,278,2986,110,374,4244,24,1265,55
SI_3005,LJ-Vič- Rudnik III,16277,11506,118,0,0,598,28,691,191,16,5,273,2628,122,333,4909,7,1529,58
SI_3006,LJ-Vič- Rudnik IV,20122,14290,185,0,0,630,40,607,242,29,15,1104,4652,196,532,4664,24,1304,66
SI_3007,LJ- center,21887,14339,156,0,0,544,46,771,178,16,21,637,2899,170,322,6892,33,1567,87
SI_3008,LJ-Šiška I,15046,10323,104,0,0,509,34,942,242,20,9,230,1938,77,284,4634,26,1219,55
SI_3009,LJ-Šiška II,17473,12392,112,0,0,634,31,671,199,16,14,303,2536,82,291,5700,10,1733,60
SI_3010,LJ-Šiška III,17313,12183,109,0,0,559,45,604,241,19,10,370,3012,96,404,5203,21,1428,62
SI_3011,LJ-Šiška IV,20387,14606,226,0,0,733,175,641,272,28,27,520,4235,600,629,4839,33,1569,79
SI_4001,Kočevje,15102,9126,124,0,0,388,18,462,74,7,13,156,1571,582,442,4197,42,1018,32
SI_4002,Ribnica,11494,7547,136,0,0,426,104,189,87,16,0,312,3579,223,369,1376,19,691,20
SI_4003,Grosuplje,29244,20143,294,0,0,717,78,1074,226,62,24,653,10139,535,865,3990,70,1339,77
SI_4004,Litija,16592,10895,257,0,0,748,39,386,142,14,17,233,3398,837,710,2519,33,1525,37
SI_4005,LJ-Moste- Polje I,21933,14963,195,0,0,921,82,771,309,64,19,432,4234,398,670,5175,37,1596,60
SI_4006,LJ-Moste- Polje II,17522,10805,147,0,0,658,30,676,566,35,13,205,1695,103,325,5095,26,1184,47
SI_4007,LJ-Moste- Polje III,20708,13511,171,0,0,769,53,784,458,29,22,367,2887,152,386,5741,42,1590,60
SI_4008,LJ- Bežigrad I,23437,16944,154,0,0,1011,50,702,318,46,20,527,4351,185,498,6338,28,2647,69
SI_4009,LJ- Bežigrad II,22334,15134,160,0,0,784,38,798,321,38,23,418,2948,111,398,6345,57,2637,58
SI_4010,Domžale I,22095,15427,289,0,0,751,85,846,287,47,19,894,4712,684,827,4379,44,1485,78
SI_4011,Domžale II,20973,14584,203,0,0,789,51,704,274,38,15,589,3887,268,701,4740,35,2213,77
SI_5001,Šentjur,16792,9605,234,0,0,699,30,319,85,50,0,347,3771,1248,581,1554,20,628,39
SI_5002,Celje I,29030,17527,374,0,0,1581,84,708,299,92,0,303,5356,2129,1043,3869,40,1555,94
SI_5003,Celje II,23981,14725,240,0,0,1230,48,582,194,41,0,141,3161,2259,618,4535,39,1530,107
SI_5004,Žalec I,17453,11301,228,0,0,1746,23,524,136,21,0,235,3471,295,698,2373,32,1454,65
SI_5005,Žalec II,17907,12061,207,0,0,1191,64,646,157,30,0,631,3870,505,694,2894,51,1072,49
SI_5006,Mozirje,13767,9154,148,0,0,854,23,311,140,34,0,311,2970,1668,598,1463,24,556,54
SI_5007,Velenje I,17320,11165,146,0,0,861,23,347,131,34,0,189,2714,169,517,4123,40,1838,33
SI_5008,Velenje II,17741,11426,203,0,0,973,32,418,119,41,0,421,4037,240,723,3214,47,919,39
SI_5009,Slovenj Gradec,18103,11997,224,0,0,2233,25,348,243,66,0,262,2876,531,1019,3406,22,706,36
SI_5010,Ravne na Koroškem,22336,14566,178,0,0,858,82,661,262,56,0,292,4898,232,922,4148,33,1891,53
SI_5011,Dravograd- Radlje,21531,13431,294,0,0,1082,37,683,353,96,0,144,3709,678,1361,4261,25,648,60
SI_6001,Črnomelj- Metlika,23046,13782,301,0,0,1256,35,389,99,27,0,474,2595,2603,575,4379,54,944,51
SI_6002,Novo mesto I,25866,15744,371,0,0,1191,64,816,187,33,0,560,6247,1138,1229,2620,38,1157,93
SI_6003,Novo mesto II,25537,16769,267,0,0,1308,76,1034,191,28,0,443,4766,221,985,5035,27,2272,116
SI_6004,Trebnje,15838,10089,232,0,0,1672,21,562,77,21,0,820,2856,401,747,2065,25,552,38
SI_6005,Brežice,21429,11794,177,0,0,960,39,718,123,46,0,127,4516,356,730,2637,25,1280,60
SI_6006,Krško,24176,13968,308,0,0,886,35,555,211,23,0,316,3572,2853,909,3088,25,1146,41
SI_6007,Sevnica,14849,9070,172,0,0,773,67,280,105,86,0,186,2575,1828,383,1655,13,920,27
SI_6008,Laško,15643,9729,234,0,0,729,36,332,137,13,0,521,2534,372,475,3476,15,827,28
SI_6009,Hrastnik,8764,5599,117,0,0,626,60,1471,128,7,0,28,721,59,295,1652,4,417,14
SI_6010,Trbovlje,15056,9909,178,0,0,722,22,1014,326,10,0,106,1591,75,1455,3387,11,982,30
SI_6011,Zagorje,14390,9602,194,0,0,628,21,2487,130,9,0,244,1727,296,398,2307,14,1123,24
SI_7001,Šmarje pri Jelšah,27486,14484,317,0,0,1919,53,444,199,58,0,992,4997,563,920,3037,65,874,46
SI_7002,Slovenska Bistrica,29471,17206,328,0,0,1533,43,629,284,132,0,296,5527,2098,1083,3405,54,1685,109
SI_7003,Slovenske Konjice,18963,11152,175,0,0,943,65,520,164,41,0,387,4072,589,880,1967,26,1257,66
SI_7004,Ruše,13280,8138,180,0,0,1397,21,1014,157,137,0,97,2037,209,667,1635,31,515,41
SI_7005,Maribor I,18397,11451,176,0,0,948,31,436,344,222,0,149,3035,955,664,3170,31,1201,89
SI_7006,Maribor II,20784,12877,193,0,0,1137,40,816,683,558,0,192,3810,409,843,3065,40,1004,87
SI_7007,Maribor III,18975,11216,272,0,0,790,49,330,539,184,0,175,3129,1785,627,2381,36,853,66
SI_7008,Maribor IV,15717,9290,114,0,0,851,44,499,256,169,0,154,2104,131,360,3143,32,1354,79
SI_7009,Maribor V,17626,10111,187,0,0,1130,37,465,409,231,0,168,2369,209,599,3165,41,1010,91
SI_7010,Maribor VI,17856,11277,149,0,0,1107,29,620,566,232,0,126,2743,294,546,3610,23,1158,74
SI_7011,Maribor VII,16498,9349,185,0,0,1130,39,328,433,417,0,130,2199,134,489,2801,30,963,71
SI_8001,Lendava,22415,11357,289,0,0,599,77,979,122,32,0,1175,2936,1847,573,1951,33,678,66
SI_8002,Ormož,14881,8731,162,0,0,788,73,301,84,24,0,986,2635,158,750,1386,17,1285,82
SI_8003,Ljutomer,15747,9179,196,0,0,1953,29,557,85,27,0,212,2179,941,462,2025,23,461,29
SI_8004,Murska Sobota I,26133,14925,247,0,0,780,71,1819,185,124,0,822,4063,1075,1294,3561,70,781,33
SI_8005,Murska Sobota II,25725,16158,286,0,0,653,183,1726,144,26,0,445,4162,1721,990,4619,37,1123,43
SI_8006,Gornja Radgona,18318,10724,221,0,0,795,69,409,106,33,0,347,2944,359,798,3752,25,820,46
SI_8007,Lenart,15318,8724,212,0,0,556,46,1291,106,72,0,260,2874,1081,468,1402,30,308,18
SI_8008,Pesnica,16776,9690,206,0,0,734,24,316,240,157,0,131,3503,1196,578,1678,21,871,35
SI_8009,Ptuj I,20913,11605,181,0,0,539,56,634,204,121,0,607,5374,547,778,1919,36,539,70
SI_8010,Ptuj II,18096,10808,151,0,0,833,16,653,194,140,0,205,3397,232,701,3237,35,839,175
SI_8011,Ptuj III,20282,11021,232,0,0,806,30,616,124,81,0,439,4203,996,721,2260,39,411,63
