gisco_id,name,registered,turnout,invalid,blank,Konkretno,DL,ZL,SNS,Verjamem,NSi-SLS,SD,SDS,SSN,PIRATI,SOL,ZS,DeSUS,Sanjska služba,PS,Zares
SI_3007,LJ- center,22142,6788,140,0,286,64,670,157,972,670,540,1215,16,297,251,61,277,267,819,86
SI_3008,LJ-Šiška I,14763,4465,121,0,218,40,422,102,655,327,371,794,5,169,104,31,276,180,601,49
SI_3009,LJ-Šiška II,18215,5836,176,0,258,57,456,138,895,496,518,1031,15,191,178,58,389,165,749,66
SI_3010,LJ-Šiška III,17231,5273,163,0,207,44,352,126,670,589,398,1213,13,181,127,37,317,239,549,48
SI_3011,LJ-Šiška IV,21405,6272,219,0,272,67,350,206,643,1079,427,1468,17,199,92,45,392,286,457,53
SI_4001,Kočevje,14833,2999,144,0,157,33,132,188,309,305,496,519,24,39,81,19,226,81,221,25
SI_4002,Ribnica,11628,3382,147,0,99,24,108,113,167,895,154,1066,175,44,32,29,124,60,116,29
SI_4003,Grosuplje,30958,8340,257,0,231,60,306,212,598,1785,453,2943,16,168,113,54,399,304,381,60
SI_4004,Litija,17014,4188,220,0,193,43,183,161,385,824,228,1090,10,103,43,22,275,148,244,16
SI_4005,LJ-Moste- Polje I,22653,6040,247,0,246,54,391,208,646,904,381,1485,18,166,116,40,410,200,464,64
SI_4006,LJ-Moste- Polje II,16469,3738,159,0,250,42,299,122,481,329,339,510,7,122,94,17,324,143,458,42
SI_4007,LJ-Moste- Polje III,20709,5264,218,0,209,64,403,130,686,543,411,1064,15,148,112,45,385,216,566,49
SI_4008,LJ- Bežigrad I,23378,7397,245,0,338,59,510,172,1019,929,551,1531,31,240,197,53,466,301,697,58
SI_4009,LJ- Bežigrad II,22031,6563,227,0,327,71,552,140,988,563,549,1131,16,278,191,50,351,270,792,67
SI_4010,Domžale I,23302,6208,298,0,259,64,269,233,547,1496,344,1362,24,157,101,40,420,234,314,46
SI_4011,Domžale II,20907,6060,267,0,241,86,345,174,709,930,361,1276,27,205,96,44,472,301,475,51
SI_5001,Šentjur,17040,3394,152,0,147,38,126,154,321,674,214,979,7,51,35,33,236,98,113,16
SI_5002,Celje I,29553,6271,301,0,248,60,261,288,618,918,388,1671,29,146,75,64,586,227,332,59
SI_5003,Celje II,23167,5342,245,0,286,63,308,184,738,413,447,1162,18,130,111,37,590,177,376,57
SI_5004,Žalec I,17871,4187,153,0,181,98,156,177,428,436,282,1184,11,74,47,34,562,128,211,25
SI_5005,Žalec II,18498,4489,170,0,169,86,194,184,520,692,272,1177,14,108,63,27,451,148,193,21
SI_5006,Mozirje,13898,3365,149,0,71,34,91,124,290,941,135,981,11,48,20,25,224,69,122,30
SI_5007,Velenje I,16747,3857,162,0,192,52,190,95,463,409,497,835,13,85,45,19,390,158,225,27
SI_5008,Velenje II,17618,3973,245,0,159,35,135,150,287,518,409,1129,20,78,58,30,362,154,162,42
SI_5009,Slovenj Gradec,18234,4174,173,0,178,37,149,169,433,516,421,938,18,96,42,20,510,120,201,153
SI_5010,Ravne na Koroškem,21882,5021,200,0,300,79,193,219,555,606,465,1131,27,70,48,36,604,167,278,43
SI_5011,Dravograd- Radlje,21312,4169,172,0,254,65,161,255,349,464,301,1082,14,73,34,30,552,119,190,54
SI_6001,Črnomelj- Metlika,23385,5497,263,0,187,178,380,317,326,1169,531,997,10,70,56,28,538,88,322,37
SI_6002,Novo mesto I,26768,5884,314,0,187,48,205,315,343,1554,397,1652,16,69,57,42,347,129,182,27
SI_6003,Novo mesto II,25901,6635,269,0,309,68,378,271,613,1052,486,1485,13,132,189,45,605,187,460,73
SI_6004,Trebnje,16473,3897,171,0,139,28,226,166,250,1207,258,813,11,52,34,17,271,77,159,18
SI_6005,Brežice,21544,4344,162,0,185,59,271,235,352,769,306,1003,18,78,42,38,411,105,272,38
SI_6006,Krško,23994,5654,209,0,192,35,247,266,429,1969,286,1090,13,92,47,36,364,120,228,31
SI_6007,Sevnica,14748,3533,160,0,132,32,175,152,214,925,237,866,7,39,30,17,311,75,141,20
SI_6008,Laško,15407,3644,193,0,129,33,176,129,391,712,389,740,13,99,35,29,321,85,146,24
SI_6009,Hrastnik,8295,1948,126,0,266,28,118,80,246,116,222,213,4,36,16,13,265,35,149,15
SI_6010,Trbovlje,14437,3503,224,0,206,45,239,134,408,214,390,625,14,76,39,19,458,128,242,42
SI_6011,Zagorje,14226,3572,168,0,265,73,198,146,416,591,267,599,4,81,50,23,341,127,191,32
SI_7001,Šmarje pri Jelšah,27774,5128,262,0,215,90,219,271,320,1104,321,1304,14,99,39,33,521,93,191,32
SI_7002,Slovenska Bistrica,30096,6019,203,0,189,62,183,326,472,1231,516,1622,19,125,45,44,549,163,238,32
SI_7003,Slovenske Konjice,19186,4611,225,0,141,35,173,186,387,1029,339,1196,34,71,40,44,388,137,158,28
SI_7004,Ruše,13175,2695,123,0,142,34,145,165,260,240,227,645,4,44,34,22,344,118,142,6
SI_7005,Maribor I,18581,4222,149,0,186,62,208,230,581,405,377,999,6,121,87,39,373,136,235,28
SI_7006,Maribor II,21077,4220,170,0,170,43,186,250,477,435,283,1080,11,99,64,36,486,188,195,47
SI_7007,Maribor III,19043,3624,174,0,109,52,133,272,398,421,231,1035,9,83,52,32,307,144,151,21
SI_7008,Maribor IV,15011,3720,104,0,191,51,281,151,520,251,363,710,7,133,77,60,388,112,295,26
SI_7009,Maribor V,17297,3617,166,0,160,38,240,188,514,259,310,705,15,94,79,34,410,127,249,29
SI_7010,Maribor VI,17220,3980,151,0,180,44,265,218,529,226,380,836,10,115,82,38,443,141,285,37
SI_7011,Maribor VII,15791,3103,162,0,128,26,196,172,368,181,283,646,14,61,51,44,455,93,193,30
SI_8001,Lendava,22163,3604,158,0,298,27,91,153,409,640,206,927,7,77,25,39,337,67,115,28
SI_8002,Ormož,14964,3406,141,0,174,20,129,238,223,772,272,856,10,51,30,43,261,62,106,18
SI_8003,Ljutomer,15745,3341,146,0,347,29,98,212,307,525,286,738,15,64,41,34,306,70,103,20
SI_8004,Murska Sobota I,25797,5554,208,0,392,47,108,516,492,777,492,1311,16,171,33,41,577,129,210,34
SI_8005,Murska Sobota II,25589,5826,205,0,393,47,183,282,807,881,425,1391,7,291,62,39,451,67,261,34
SI_8006,Gornja Radgona,18350,3620,160,0,197,30,104,226,418,682,245,758,7,67,23,32,409,81,159,22
SI_8007,Lenart,15969,2863,135,0,109,31,86,157,166,503,220,989,10,53,22,18,193,65,100,6
SI_8008,Pesnica,16858,3141,136,0,111,21,116,157,276,357,201,998,11,80,36,36,346,134,98,27
SI_8009,Ptuj I,21350,4658,194,0,196,38,129,352,221,905,267,1691,11,84,28,65,249,100,110,18
SI_8010,Ptuj II,17753,4161,185,0,233,36,194,197,412,450,364,1095,12,82,70,109,360,121,206,35
SI_8011,Ptuj III,20340,3871,189,0,168,33,100,262,152,909,264,1197,8,49,35,49,250,80,97,29
SI_9999,Votes outside of a municipality,0,3033,43,0,141,39,217,66,194,851,240,614,11,97,74,67,94,50,211,24
