gisco_id,name,registered,turnout,invalid,blank,ZS,DeSUS,DD,GAS,ZSi,GSN,ZD [Združena desnica],Levica,LMŠ,LNBP,NPS,NSi,PIRATI,ReSET,SDS,SLS,SNS,SMC,SPS,SD,SOL,SSN,SAB,ZD (2018)
SI_3008,LJ-Šiška I,14397,8008,81,0,49,495,125,30,35,49,5,1569,881,90,0,375,257,0,1250,31,183,1040,18,799,23,10,544,69
SI_3009,LJ-Šiška II,18497,10457,89,0,68,575,199,29,47,39,11,1823,1108,112,0,584,312,0,1759,50,213,1416,24,1129,23,3,776,68
SI_3010,LJ-Šiška III,17113,9884,70,0,57,453,213,25,31,36,4,1415,1240,103,0,591,319,0,2025,53,258,1234,30,923,19,14,692,79
SI_3011,LJ-Šiška IV,22008,13346,144,0,117,460,252,54,52,62,41,1332,2092,132,0,1202,359,0,3042,200,438,1391,15,978,42,10,793,138
SI_4001,Kočevje,14548,6656,96,0,27,442,41,15,33,11,8,1034,1001,46,0,294,96,0,1084,89,477,586,17,989,21,9,221,19
SI_4002,Ribnica,11611,6488,98,0,56,118,56,20,40,26,11,459,802,62,0,792,101,0,2160,446,293,319,12,387,18,12,164,36
SI_4003,Grosuplje,31591,18054,192,0,111,532,242,61,61,64,19,1182,2082,137,0,1365,376,0,7020,576,491,1661,35,1018,37,22,642,128
SI_4004,Litija,17327,9435,121,0,59,461,96,10,67,25,12,817,1634,40,0,508,158,0,2488,750,337,766,16,676,12,22,313,47
SI_4005,LJ-Moste- Polje I,23264,12676,138,0,102,625,157,37,49,92,11,1429,2083,89,0,908,322,0,2955,170,406,1361,28,936,34,21,651,72
SI_4006,LJ-Moste- Polje II,15981,7567,62,0,66,735,110,28,23,62,5,1328,1052,76,0,352,215,0,1088,36,183,806,12,735,21,8,511,53
SI_4007,LJ-Moste- Polje III,20726,10494,119,0,64,695,162,22,41,67,13,1583,1432,104,0,602,339,0,1895,68,272,1183,35,951,30,20,718,79
SI_4008,LJ- Bežigrad I,23530,14132,123,0,66,609,481,59,31,81,12,1941,1885,155,0,958,431,0,2816,81,295,1738,31,1252,27,11,954,95
SI_4009,LJ- Bežigrad II,21535,11664,97,0,73,580,200,46,42,54,11,2404,1301,115,0,538,454,0,1921,44,259,1580,31,1020,28,5,770,91
SI_4010,Domžale I,23993,14020,142,0,178,370,127,34,64,47,20,848,3522,99,0,1668,357,0,3006,224,462,1163,26,886,23,15,646,93
SI_4011,Domžale II,22460,13200,124,0,129,472,226,40,47,48,7,1210,3026,121,0,1013,337,0,2589,110,387,1452,11,952,29,19,767,84
SI_5001,Šentjur,17150,8897,100,0,164,635,118,12,85,24,15,434,961,41,0,454,97,18,3075,389,522,976,6,447,15,0,270,39
SI_5002,Celje I,29801,15268,224,0,180,751,222,26,110,79,34,1159,1808,164,0,973,311,38,4349,557,869,1484,25,1101,30,0,682,92
SI_5003,Celje II,22725,11517,142,0,106,642,160,28,79,45,15,1343,1273,123,0,504,320,25,2596,343,614,1294,19,1030,33,0,715,68
SI_5004,Žalec I,18011,10124,121,0,72,693,157,24,62,35,12,592,1178,73,0,488,232,21,3029,369,548,870,19,788,13,0,668,60
SI_5005,Žalec II,18647,10992,114,0,100,754,151,46,71,34,16,684,1482,68,0,1076,197,18,2964,294,557,814,16,868,23,0,573,72
SI_5006,Mozirje,13859,7879,77,0,37,336,86,5,48,12,18,467,1384,54,0,755,124,24,2643,274,326,503,9,370,6,0,292,29
SI_5007,Velenje I,16637,8742,87,0,61,524,95,21,45,51,28,714,996,132,0,363,187,22,2108,140,377,726,14,1595,24,0,399,33
SI_5008,Velenje II,17589,9555,120,0,68,461,112,24,59,30,16,530,1155,133,0,626,160,24,3108,185,448,671,14,1245,23,0,316,27
SI_5009,Slovenj Gradec,18197,10449,116,0,76,440,147,8,82,22,8,876,1471,39,0,502,192,70,2639,238,467,1098,11,1448,11,0,463,25
SI_5010,Ravne na Koroškem,21597,12013,95,0,58,528,185,29,77,43,11,805,985,50,0,584,113,145,3588,87,523,1112,15,2565,8,0,379,28
SI_5011,Dravograd- Radlje,21155,10826,109,0,93,632,137,14,95,32,21,574,1421,46,0,543,131,262,3016,121,577,833,14,1794,15,0,315,31
SI_6001,Črnomelj- Metlika,23140,11181,100,0,59,831,198,27,28,9,0,748,1142,50,0,744,120,0,2992,229,611,1119,20,1755,16,12,328,43
SI_6002,Novo mesto I,26560,13237,184,0,177,484,374,286,80,21,0,680,1187,90,0,1076,177,0,4163,697,860,1038,16,1111,49,22,389,76
SI_6003,Novo mesto II,25849,13512,165,0,111,802,232,233,52,54,0,1206,1298,91,0,850,275,0,2956,214,790,1636,16,1516,233,22,662,98
SI_6004,Trebnje,16555,8742,94,0,85,262,133,30,45,29,0,526,825,31,0,745,124,0,2394,643,387,973,12,1091,24,25,227,37
SI_6005,Brežice,21471,9711,94,0,63,535,114,27,58,50,0,1204,878,44,0,425,97,0,2450,235,509,1731,14,594,14,16,519,40
SI_6006,Krško,23810,11352,112,0,96,434,152,16,98,28,0,1064,1217,46,0,525,110,0,2660,1399,877,1013,19,922,14,16,498,36
SI_6007,Sevnica,15316,7802,106,0,49,359,74,10,49,20,0,604,1123,39,0,356,106,0,2506,675,353,608,7,451,6,14,259,28
SI_6008,Laško,15231,8033,115,0,54,286,80,14,59,18,0,510,756,60,0,580,164,0,1778,518,314,513,7,1917,10,3,249,28
SI_6009,Hrastnik,8025,4061,47,0,13,373,53,4,9,10,0,569,589,21,0,89,55,0,487,42,162,466,28,800,11,1,222,10
SI_6010,Trbovlje,14019,7218,90,0,76,534,139,14,34,17,0,1005,954,49,0,269,100,0,1230,95,259,809,15,993,33,12,472,19
SI_6011,Zagorje,14025,7641,84,0,67,411,59,10,27,20,0,753,1454,46,0,391,106,0,1260,374,299,986,21,736,8,13,475,41
SI_7001,Šmarje pri Jelšah,27800,12788,132,0,109,538,163,17,102,29,35,723,1067,82,0,1478,161,17,3313,372,769,2502,0,724,22,21,373,39
SI_7002,Slovenska Bistrica,30380,15675,170,0,291,798,210,25,132,42,51,902,1616,100,0,812,276,61,4651,1338,1100,1242,0,1228,35,28,481,86
SI_7003,Slovenske Konjice,19126,10500,102,0,107,379,102,9,86,23,45,472,991,58,0,742,130,17,3297,659,1006,878,0,1080,14,18,255,30
SI_7004,Ruše,13071,6606,66,0,68,757,70,12,60,50,32,741,736,51,0,301,95,59,1375,41,453,618,0,729,15,9,238,30
SI_7005,Maribor I,18636,9742,99,0,107,412,190,27,53,31,98,982,1058,171,0,500,192,108,2202,295,504,1164,0,964,30,24,472,59
SI_7006,Maribor II,21278,11014,105,0,235,565,211,32,114,54,87,856,1260,140,0,538,204,168,2694,233,678,1164,0,1034,37,32,517,56
SI_7007,Maribor III,19064,9168,97,0,169,373,112,16,78,41,570,702,906,119,0,455,166,154,2500,145,489,893,0,700,17,25,395,46
SI_7008,Maribor IV,14763,7231,60,0,108,356,161,22,44,37,67,1180,601,142,0,303,211,86,1358,37,281,886,0,791,19,7,413,61
SI_7009,Maribor V,16851,7702,82,0,104,482,144,15,81,29,70,914,856,104,0,368,172,90,1520,68,440,901,0,742,14,12,439,55
SI_7010,Maribor VI,16929,8647,77,0,82,514,167,23,70,43,79,1064,957,129,0,339,184,130,1750,49,421,1088,0,905,6,14,500,56
SI_7011,Maribor VII,15267,6786,78,0,90,443,102,19,129,27,54,849,816,99,0,239,128,90,1411,44,394,705,0,640,17,10,370,32
SI_8001,Lendava,21967,9392,140,0,52,524,54,23,51,16,8,562,850,37,0,1624,146,66,2772,192,321,820,11,808,15,24,244,32
SI_8002,Ormož,14714,7633,81,0,247,522,85,6,63,12,13,323,954,28,0,618,60,64,2062,216,743,805,5,464,8,28,202,24
SI_8003,Ljutomer,15662,8005,100,0,106,820,68,14,46,8,12,559,983,32,0,531,109,82,1840,321,444,786,13,767,41,11,275,37
SI_8004,Murska Sobota I,25380,12273,103,0,76,611,77,41,64,18,11,665,1196,200,0,646,120,389,3103,797,553,1023,30,1961,19,34,476,60
SI_8005,Murska Sobota II,25469,13283,124,0,79,532,106,29,54,23,50,1113,1130,93,0,979,235,162,2880,348,610,1270,41,2803,16,21,532,53
SI_8006,Gornja Radgona,18205,9019,105,0,72,566,129,20,60,16,16,567,1013,37,0,568,126,572,2186,347,431,643,8,1135,24,29,264,85
SI_8007,Lenart,16209,7769,64,0,166,221,47,13,47,13,30,416,808,47,0,813,98,228,2697,152,346,659,10,539,5,16,265,69
SI_8008,Pesnica,16733,8189,89,0,78,383,75,116,83,34,32,481,863,81,0,493,127,215,2861,141,352,656,13,667,10,13,283,43
SI_8009,Ptuj I,21560,11207,102,0,1043,366,133,19,88,36,138,526,986,49,0,820,140,134,3406,581,747,632,31,714,15,35,416,50
SI_8010,Ptuj II,17487,9157,78,0,727,545,125,21,56,44,18,802,770,64,0,432,171,48,2374,215,391,672,23,1052,14,26,442,47
SI_8011,Ptuj III,20070,9538,118,0,436,733,71,25,55,48,31,421,925,44,0,563,98,65,3265,549,483,681,10,607,14,32,243,21
