gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,MSZP,MIÉP-Jobbik,MP,SZDSZ,MDF,MVPP,KDCSZCÖ,MCF,MM2006,FKGP,Centrum,ZÖP,MESZ
HU_0760,Bánfa,166,112,0,0,47,63,0,1,0,0,1,0,0,0,0,0,0,0
HU_2437,Bár,501,370,2,0,235,104,4,2,10,11,0,0,0,2,0,0,0,0
HU_1900,Belvárdgyula,348,222,6,0,81,88,0,0,7,19,0,0,21,0,0,0,0,0
HU_3192,Beremend,2223,1377,15,0,483,713,26,8,70,59,0,2,1,0,0,0,0,0
HU_1646,Berkesd,708,415,16,0,177,158,8,1,5,22,1,0,26,1,0,0,0,0
HU_3004,Besence,101,69,4,0,26,20,0,0,15,3,0,0,1,0,0,0,0,0
HU_1411,Bezedek,235,167,1,0,112,47,0,1,3,3,0,0,0,0,0,0,0,0
HU_1331,Bicsérd,808,533,5,0,189,288,4,4,13,25,1,1,0,3,0,0,0,0
HU_0489,Bikal,697,492,2,0,123,314,8,2,25,15,1,1,1,0,0,0,0,0
HU_0513,Birján,392,267,1,0,106,122,2,2,9,22,0,0,1,2,0,0,0,0
HU_2492,Bisse,206,129,0,0,31,69,3,2,8,15,0,0,0,1,0,0,0,0
HU_2089,Boda,342,198,5,0,61,108,5,1,4,11,0,1,0,2,0,0,0,0
HU_3300,Bodolyabér,225,119,1,0,58,51,1,0,1,6,0,0,0,1,0,0,0,0
HU_3215,Bogád,732,486,3,0,189,214,10,2,22,40,3,0,0,3,0,0,0,0
HU_2189,Bogádmindszent,338,226,3,0,129,73,2,0,6,10,0,0,3,0,0,0,0,0
HU_1069,Bogdása,256,163,2,0,74,79,4,0,2,2,0,0,0,0,0,0,0,0
HU_1311,Boldogasszonyfa,384,255,5,0,107,118,8,0,7,10,0,0,0,0,0,0,0,0
HU_0672,Borjád,357,253,5,0,138,79,3,0,7,20,1,0,0,0,0,0,0,0
HU_1436,Bosta,103,78,3,0,21,50,0,0,2,1,0,0,1,0,0,0,0,0
HU_1336,Botykapeterd,269,169,3,0,76,73,4,0,5,7,0,0,0,1,0,0,0,0
HU_3315,Bóly,2970,2170,29,0,1074,720,24,2,175,142,2,1,0,1,0,0,0,0
HU_2316,Bükkösd,978,570,16,0,221,270,10,2,19,31,0,0,1,0,0,0,0,0
HU_0753,Bürüs,84,54,1,0,34,11,0,1,0,5,1,0,1,0,0,0,0,0
HU_3061,Csarnóta,116,77,1,0,40,28,0,0,2,4,0,0,2,0,0,0,0,0
HU_1990,Csányoszró,592,385,11,0,167,173,3,2,16,10,1,0,1,1,0,0,0,0
HU_2159,Csebény,86,52,0,0,17,30,1,0,3,1,0,0,0,0,0,0,0,0
HU_2608,Cserdi,258,143,4,0,57,49,3,0,3,2,0,0,25,0,0,0,0,0
HU_0389,Cserkút,385,290,3,0,98,148,4,0,20,17,0,0,0,0,0,0,0,0
HU_1385,Csertõ,306,200,5,0,79,87,5,0,2,20,0,0,2,0,0,0,0,0
HU_2257,Csonkamindszent,139,102,1,0,66,33,1,0,0,1,0,0,0,0,0,0,0,0
HU_1108,Cún,195,118,2,0,49,62,0,1,2,0,1,0,1,0,0,0,0,0
HU_0777,Dencsháza,484,270,1,0,81,158,6,0,11,8,1,0,2,2,0,0,0,0
HU_1195,Dinnyeberki,78,62,2,0,35,17,0,0,3,2,1,0,2,0,0,0,0,0
HU_3237,Diósviszló,564,363,3,0,208,125,1,1,11,12,0,1,1,0,0,0,0,0
HU_2861,Drávacsehi,175,133,2,0,44,71,5,0,5,4,0,0,1,1,0,0,0,0
HU_2812,Drávacsepely,187,146,4,0,56,68,1,0,7,7,0,0,1,2,0,0,0,0
HU_1741,Drávafok,432,262,2,0,109,110,15,0,7,16,1,0,2,0,0,0,0,0
HU_3239,Drávaiványi,156,113,1,0,25,82,1,0,3,1,0,0,0,0,0,0,0,0
HU_0915,Drávakeresztúr,121,76,2,0,37,35,0,0,1,0,0,0,0,1,0,0,0,0
HU_2273,Drávapalkonya,219,139,1,0,46,76,1,3,8,3,1,0,0,0,0,0,0,0
HU_1238,Drávapiski,74,48,0,0,11,36,1,0,0,0,0,0,0,0,0,0,0,0
HU_2860,Drávaszabolcs,540,363,6,0,118,194,6,3,11,22,2,0,0,1,0,0,0,0
HU_3003,Drávaszerdahely,177,127,0,0,69,48,3,0,3,3,0,0,0,1,0,0,0,0
HU_2169,Drávasztára,404,243,5,0,104,125,4,0,4,1,0,0,0,0,0,0,0,0
HU_0918,Dunaszekcsõ,1776,1100,7,0,583,410,4,5,24,57,0,1,2,7,0,0,0,0
HU_2891,Egerág,817,495,7,0,177,235,14,4,16,32,4,1,1,4,0,0,0,0
HU_1649,Egyházasharaszti,251,162,5,0,86,57,1,0,2,10,1,0,0,0,0,0,0,0
HU_2740,Egyházaskozár,708,489,2,0,113,320,10,4,17,21,1,1,0,0,0,0,0,0
HU_0609,Ellend,210,158,3,0,69,62,3,2,5,11,1,0,1,1,0,0,0,0
HU_2827,Endrõc,338,222,8,0,93,85,1,3,2,7,1,1,21,0,0,0,0,0
HU_2582,Erdõsmárok,79,50,1,0,22,20,2,0,0,2,0,1,2,0,0,0,0,0
HU_1870,Erdõsmecske,343,186,0,0,87,74,2,1,12,9,0,1,0,0,0,0,0,0
HU_1349,Erzsébet,266,183,0,0,83,76,1,0,9,11,0,1,2,0,0,0,0,0
HU_1783,Fazekasboda,183,104,0,0,41,39,1,1,5,15,0,0,2,0,0,0,0,0
HU_0454,Feked,192,153,5,0,64,59,2,0,12,11,0,0,0,0,0,0,0,0
HU_1328,Felsõegerszeg,125,78,0,0,31,36,1,0,5,5,0,0,0,0,0,0,0,0
HU_0881,Felsõszentmárton,903,629,6,0,189,388,13,5,12,11,2,1,0,2,0,0,0,0
HU_0756,Garé,252,158,0,0,33,107,6,1,3,6,1,1,0,0,0,0,0,0
HU_1275,Gerde,415,249,4,0,118,116,0,0,6,5,0,0,0,0,0,0,0,0
HU_0285,Geresdlak,774,500,8,0,166,158,11,3,6,145,1,1,0,1,0,0,0,0
HU_1334,Gerényes,197,104,4,0,35,59,0,1,3,1,0,0,1,0,0,0,0,0
HU_1833,Gilvánfa,223,104,4,0,51,43,0,0,6,0,0,0,0,0,0,0,0,0
HU_3308,Gordisa,224,125,3,0,54,60,0,0,5,3,0,0,0,0,0,0,0,0
HU_3323,Gödre,780,451,11,0,236,167,6,1,3,21,2,1,2,1,0,0,0,0
HU_3043,Görcsöny,1435,890,19,0,235,533,7,1,32,45,2,0,14,2,0,0,0,0
HU_0963,Görcsönydoboka,364,217,2,0,88,104,1,0,3,18,0,0,0,1,0,0,0,0
HU_1831,Gyód,512,333,3,0,125,174,3,1,16,10,0,1,0,0,0,0,0,0
HU_2840,Gyöngyfa,95,67,0,0,36,25,0,1,0,4,1,0,0,0,0,0,0,0
HU_2266,Gyöngyösmellék,232,155,3,0,72,54,7,2,5,3,0,0,7,2,0,0,0,0
HU_2152,Harkány,3109,2282,20,0,1262,738,38,8,67,132,9,3,1,4,0,0,0,0
HU_2788,Hásságy,254,198,6,0,110,61,0,0,5,15,0,1,0,0,0,0,0,0
HU_3095,Hegyhátmaróc,177,123,2,0,33,78,0,1,3,5,0,0,1,0,0,0,0,0
HU_2102,Hegyszentmárton,358,207,1,0,131,61,4,0,2,5,1,0,0,2,0,0,0,0
HU_1719,Helesfa,317,160,12,0,57,84,3,0,2,2,0,0,0,0,0,0,0,0
HU_0712,Hetvehely,387,288,4,0,100,159,4,1,10,9,0,1,0,0,0,0,0,0
HU_0679,Hidas,1859,1244,13,0,631,447,14,7,76,47,3,1,0,5,0,0,0,0
HU_2793,Himesháza,994,679,4,0,339,245,4,2,26,50,1,7,0,1,0,0,0,0
HU_0328,Hirics,169,80,2,0,18,52,1,1,2,3,0,0,0,1,0,0,0,0
HU_3393,Hobol,801,523,17,0,215,255,4,1,14,14,0,0,3,0,0,0,0,0
HU_2996,Homorúd,578,345,3,0,221,89,7,2,8,14,1,0,0,0,0,0,0,0
HU_2307,Horváthertelend,61,48,1,0,16,28,0,0,1,2,0,0,0,0,0,0,0,0
HU_3083,Hosszúhetény,2660,1853,14,0,772,830,22,7,107,93,1,2,4,1,0,0,0,0
HU_3143,Husztót,64,42,1,0,18,21,0,0,0,1,0,0,1,0,0,0,0,0
HU_3306,Ibafa,182,124,0,0,53,57,2,0,6,4,1,0,0,1,0,0,0,0
HU_3193,Illocska,192,132,5,0,33,85,3,1,1,4,0,0,0,0,0,0,0,0
HU_2994,Ipacsfa,191,134,0,0,76,46,1,0,2,9,0,0,0,0,0,0,0,0
HU_0333,Ivánbattyán,119,88,1,0,23,60,0,0,3,0,0,0,0,1,0,0,0,0
HU_0334,Ivándárda,220,154,1,0,46,91,0,0,7,6,0,3,0,0,0,0,0,0
HU_0429,Kacsóta,227,157,2,0,57,75,2,2,7,7,0,0,0,5,0,0,0,0
HU_0696,Katádfa,123,86,2,0,40,34,3,0,2,2,0,0,3,0,0,0,0,0
HU_0641,Kákics,184,100,1,0,48,35,3,1,4,2,0,0,6,0,0,0,0,0
HU_0599,Kárász,298,211,1,0,91,82,1,6,14,14,0,0,0,2,0,0,0,0
HU_1746,Kásád,301,186,4,0,73,85,4,1,8,9,2,0,0,0,0,0,0,0
HU_1913,Kátoly,317,205,4,0,70,110,1,2,6,9,2,0,0,1,0,0,0,0
HU_0678,Kemse,58,45,0,0,34,10,0,0,0,1,0,0,0,0,0,0,0,0
HU_0383,Keszü,857,652,3,0,247,286,4,1,57,43,2,0,6,3,0,0,0,0
HU_1680,Kékesd,170,124,0,0,55,47,0,0,8,12,0,1,1,0,0,0,0,0
HU_1054,Kémes,423,286,6,0,123,138,3,0,3,11,1,0,0,1,0,0,0,0
HU_0857,Kétújfalu,561,404,3,0,183,194,3,0,12,9,0,0,0,0,0,0,0,0
HU_2055,Királyegyháza,821,503,5,0,241,217,11,1,3,19,1,0,2,3,0,0,0,0
HU_1890,Kisasszonyfa,167,104,0,0,46,54,0,2,1,1,0,0,0,0,0,0,0,0
HU_0572,Kisbeszterce,75,38,1,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0
HU_2286,Kisbudmér,95,65,1,0,41,13,1,2,1,4,0,1,1,0,0,0,0,0
HU_1118,Kisdér,93,73,1,0,38,30,1,0,1,1,0,0,0,1,0,0,0,0
HU_3390,Kisdobsza,205,138,2,0,85,39,5,0,2,5,0,0,0,0,0,0,0,0
HU_0683,Kishajmás,167,106,2,0,32,62,2,1,2,3,0,1,0,1,0,0,0,0
HU_2702,Kisharsány,423,239,2,0,103,113,0,0,5,16,0,0,0,0,0,0,0,0
HU_1697,Kisherend,182,114,1,0,40,59,1,0,5,7,0,1,0,0,0,0,0,0
HU_1284,Kisjakabfalva,139,100,1,0,57,31,0,1,4,5,1,0,0,0,0,0,0,0
HU_1991,Kiskassa,226,148,1,0,41,94,1,0,4,6,0,0,1,0,0,0,0,0
HU_2161,Kislippó,244,188,3,0,55,115,2,0,7,5,0,1,0,0,0,0,0,0
HU_3321,Kisnyárád,192,140,4,0,39,82,0,0,6,8,0,1,0,0,0,0,0,0
HU_0865,Kisszentmárton,216,139,5,0,66,56,1,2,4,4,0,0,1,0,0,0,0,0
HU_1235,Kistamási,97,65,2,0,20,35,2,0,1,0,0,0,5,0,0,0,0,0
HU_0315,Kistapolca,165,90,1,0,39,42,1,0,4,2,0,0,1,0,0,0,0,0
HU_1074,Kistótfalu,290,206,1,0,59,125,0,0,6,13,1,0,1,0,0,0,0,0
HU_0954,Kisvaszar,236,145,2,0,67,65,0,3,1,5,0,2,0,0,0,0,0,0
HU_2640,Komló,23634,15078,128,0,4091,9137,125,82,810,571,16,14,10,93,1,0,0,0
HU_2422,Kovácshida,223,167,4,0,82,64,2,3,3,9,0,0,0,0,0,0,0,0
HU_1451,Kovácsszénája,55,52,0,0,12,30,2,0,3,3,0,0,2,0,0,0,0,0
HU_0633,Kozármisleny,3920,2895,23,0,1076,1387,31,12,161,187,0,2,8,8,0,0,0,0
HU_0811,Kórós,171,119,3,0,71,42,0,0,1,1,1,0,0,0,0,0,0,0
HU_2524,Köblény,232,152,1,0,24,121,0,1,3,2,0,0,0,0,0,0,0,0
HU_0354,Kökény,497,321,4,0,74,186,5,3,20,23,0,0,0,6,0,0,0,0
HU_1789,Kölked,912,559,16,0,288,180,8,6,37,15,2,1,5,1,0,0,0,0
HU_1553,Kővágószőlős,1080,722,23,0,314,311,8,2,19,23,1,1,19,1,0,0,0,0
HU_0699,Kővágótöttös,265,146,4,0,63,70,5,0,2,1,1,0,0,0,0,0,0,0
HU_0647,Lapáncsa,169,100,1,0,48,40,0,0,2,8,0,1,0,0,0,0,0,0
HU_3333,Lánycsók,2198,1491,19,0,777,546,21,6,48,67,2,0,4,1,0,0,0,0
HU_1760,Liget,333,195,4,0,40,124,1,0,16,8,1,1,0,0,0,0,0,0
HU_2297,Lippó,492,307,2,0,103,170,5,1,4,19,1,2,0,0,0,0,0,0
HU_1003,Liptód,195,114,0,0,33,72,1,0,2,5,1,0,0,0,0,0,0,0
HU_3138,Lothárd,228,149,3,0,34,77,5,2,9,17,2,0,0,0,0,0,0,0
HU_2462,Lovászhetény,229,127,2,0,31,73,1,1,11,8,0,0,0,0,0,0,0,0
HU_1886,Lúzsok,167,101,2,0,68,27,0,0,1,3,0,0,0,0,0,0,0,0
HU_2517,Magyarbóly,825,602,8,0,342,210,2,1,9,27,2,1,0,0,0,0,0,0
HU_2975,Magyaregregy,727,505,7,0,208,218,7,7,20,33,1,0,2,2,0,0,0,0
HU_0543,Magyarhertelend,540,398,4,0,127,228,0,1,10,26,1,1,0,0,0,0,0,0
HU_2354,Magyarlukafa,75,46,0,0,20,17,1,0,6,2,0,0,0,0,0,0,0,0
HU_0541,Magyarmecske,237,143,1,0,63,63,0,0,6,9,0,0,0,1,0,0,0,0
HU_2706,Magyarsarlós,276,202,1,0,109,73,4,0,7,7,0,0,0,1,0,0,0,0
HU_2260,Magyarszék,913,666,11,0,230,356,12,3,29,21,0,1,2,1,0,0,0,0
HU_0438,Magyartelek,176,139,1,0,35,94,2,0,5,2,0,0,0,0,0,0,0,0
HU_2786,Majs,877,540,10,0,239,223,2,1,13,27,0,24,0,1,0,0,0,0
HU_2992,Maráza,170,110,2,0,47,50,0,0,1,10,0,0,0,0,0,0,0,0
HU_1644,Markóc,54,26,1,0,13,9,0,0,1,1,0,0,1,0,0,0,0,0
HU_1521,Marócsa,84,71,3,0,16,52,0,0,0,0,0,0,0,0,0,0,0,0
HU_0222,Martonfa,156,106,1,0,19,60,3,2,10,11,0,0,0,0,0,0,0,0
HU_1505,Matty,291,197,1,0,125,58,4,0,4,5,0,0,0,0,0,0,0,0
HU_0681,Mágocs,2048,1274,15,0,564,581,10,6,39,54,0,0,3,2,0,0,0,0
HU_3392,Mánfa,712,470,3,0,148,256,9,2,25,20,1,0,1,5,0,0,0,0
HU_0945,Márfa,177,140,0,0,68,62,1,1,2,5,0,1,0,0,0,0,0,0
HU_1448,Máriakéménd,444,289,5,0,113,143,1,6,3,14,1,3,0,0,0,0,0,0
HU_2065,Márok,413,302,7,0,184,73,7,6,2,13,0,7,0,3,0,0,0,0
HU_3375,Máza,1068,744,5,0,263,375,9,7,46,30,4,1,1,3,0,0,0,0
HU_1344,Mecseknádasd,1475,1074,17,0,395,334,5,7,271,42,2,1,0,0,0,0,0,0
HU_1140,Mecsekpölöske,374,261,1,0,75,160,1,2,8,7,1,3,0,3,0,0,0,0
HU_3049,Mekényes,266,173,2,0,46,109,1,2,4,7,0,0,1,1,0,0,0,0
HU_0773,Merenye,247,140,1,0,82,47,1,1,2,5,0,0,0,1,0,0,0,0
HU_0347,Mezõd,133,86,0,0,30,46,0,0,0,9,0,0,1,0,0,0,0,0
HU_1628,Mindszentgodisa,742,512,1,0,167,283,3,2,14,20,0,1,21,0,0,0,0,0
HU_2395,Mohács,15935,10813,56,0,5179,4225,165,63,533,496,11,25,44,16,0,0,0,0
HU_2952,Molvány,174,117,2,0,49,55,1,1,2,6,0,0,0,1,0,0,0,0
HU_1602,Monyoród,135,84,1,0,24,44,0,0,6,7,1,0,0,1,0,0,0,0
HU_2954,Mozsgó,705,359,4,0,128,164,10,3,15,34,0,0,0,1,0,0,0,0
HU_0398,Nagybudmér,186,133,1,0,90,34,0,3,1,4,0,0,0,0,0,0,0,0
HU_1811,Nagycsány,131,82,3,0,23,49,2,0,4,0,0,0,1,0,0,0,0,0
HU_3389,Nagydobsza,521,325,6,0,138,162,0,1,8,7,0,0,2,1,0,0,0,0
HU_1285,Nagyhajmás,306,186,3,0,74,89,3,1,10,5,0,0,0,1,0,0,0,0
HU_0265,Nagyharsány,1263,826,12,0,424,329,5,3,15,35,0,1,1,1,0,0,0,0
HU_1094,Nagykozár,1211,868,3,0,345,385,10,5,51,61,0,2,3,3,0,0,0,0
HU_1465,Nagynyárád,639,553,2,0,383,105,15,1,12,23,0,11,0,1,0,0,0,0
HU_1987,Nagypall,354,247,5,0,133,76,0,1,16,15,1,0,0,0,0,0,0,0
HU_2716,Nagypeterd,527,380,5,0,101,234,4,0,14,14,2,0,6,0,0,0,0,0
HU_2892,Nagytótfalu,308,210,1,0,103,82,1,2,6,14,0,0,0,1,0,0,0,0
HU_1419,Nagyváty,280,185,4,0,90,83,4,1,2,1,0,0,0,0,0,0,0,0
HU_1823,Nemeske,227,148,1,0,35,106,2,0,1,1,0,0,2,0,0,0,0,0
HU_2632,Nyugotszenterzsébet,157,93,0,0,30,49,0,0,6,3,0,0,5,0,0,0,0,0
HU_2068,Okorág,138,73,4,0,48,17,0,0,2,2,0,0,0,0,0,0,0,0
HU_0834,Okorvölgy,71,48,0,0,12,31,0,0,4,0,0,0,0,1,0,0,0,0
HU_1855,Olasz,519,357,4,0,137,166,2,0,30,17,0,1,0,0,0,0,0,0
HU_2170,Old,264,188,7,0,96,62,11,0,0,8,1,0,3,0,0,0,0,0
HU_1173,Orfû,696,471,5,0,161,223,8,1,44,24,1,0,2,2,0,0,0,0
HU_0448,Oroszló,272,188,8,0,50,104,1,2,8,10,0,0,5,0,0,0,0,0
HU_1264,Óbánya,131,89,2,0,47,20,1,0,17,2,0,0,0,0,0,0,0,0
HU_0378,Ócsárd,355,247,1,0,66,147,4,4,7,14,1,1,0,2,0,0,0,0
HU_1964,Ófalu,294,223,7,0,130,47,0,0,26,12,0,1,0,0,0,0,0,0
HU_1866,Ózdfalu,135,103,2,0,54,42,0,2,2,0,0,0,0,1,0,0,0,0
HU_2376,Palé,93,76,1,0,26,37,2,1,3,2,0,0,4,0,0,0,0,0
HU_0715,Palkonya,257,154,0,0,84,53,1,1,4,10,1,0,0,0,0,0,0,0
HU_1013,Palotabozsok,874,616,15,0,409,146,14,1,10,18,0,2,0,1,0,0,0,0
HU_1779,Patapoklosi,290,174,3,0,63,99,1,2,1,3,0,0,1,1,0,0,0,0
HU_0701,Páprád,152,115,2,0,66,38,1,0,1,5,1,0,1,0,0,0,0,0
HU_1611,Pellérd,1649,1076,6,0,338,575,10,1,80,63,0,2,1,0,0,0,0,0
HU_1286,Pereked,143,90,4,0,38,33,1,1,3,9,0,0,1,0,0,0,0,0
HU_3242,Peterd,151,84,0,0,44,31,0,1,3,3,2,0,0,0,0,0,0,0
HU_2976,Pettend,116,77,3,0,38,32,0,2,1,0,0,1,0,0,0,0,0,0
HU_1941,Pécs,125941,88521,720,0,29959,44539,1197,298,6725,4558,143,82,81,219,0,0,0,0
HU_2151,Pécsbagota,86,61,1,0,14,41,1,0,2,2,0,0,0,0,0,0,0,0
HU_1538,Pécsdevecser,105,73,1,0,39,27,0,0,1,5,0,0,0,0,0,0,0,0
HU_2109,Pécsudvard,560,406,7,0,108,233,6,0,25,26,0,0,0,1,0,0,0,0
HU_1082,Pécsvárad,3247,2255,22,0,1051,828,29,6,141,162,4,5,3,4,0,0,0,0
HU_2350,Piskó,194,118,0,0,89,24,0,0,1,2,1,0,1,0,0,0,0,0
HU_1724,Pogány,906,656,6,0,226,333,5,2,34,43,4,1,1,1,0,0,0,0
HU_2226,Pócsa,141,100,2,0,59,27,0,1,3,5,0,1,2,0,0,0,0,0
HU_1151,Rádfalva,178,121,4,0,64,46,0,0,1,4,1,0,0,1,0,0,0,0
HU_2529,Regenye,132,77,2,0,11,51,0,1,3,2,1,0,4,2,0,0,0,0
HU_2485,Romonya,351,262,3,0,57,164,5,1,9,23,0,0,0,0,0,0,0,0
HU_0451,Rózsafa,325,183,2,0,55,110,2,1,4,3,0,0,6,0,0,0,0,0
HU_1805,Sámod,179,140,0,0,57,82,1,0,0,0,0,0,0,0,0,0,0,0
HU_2086,Sárok,118,66,2,0,16,42,0,0,2,3,0,1,0,0,0,0,0,0
HU_3216,Sásd,2854,1923,22,0,714,919,27,8,113,90,2,4,20,4,0,0,0,0
HU_3348,Sátorhely,559,437,8,0,221,158,13,6,13,16,0,0,0,2,0,0,0,0
HU_2874,Sellye,2520,1559,11,0,548,833,13,15,61,70,2,0,0,6,0,0,0,0
HU_0551,Siklós,8256,5753,46,0,2197,2532,41,20,220,681,3,9,0,4,0,0,0,0
HU_2320,Siklósbodony,101,70,2,0,37,31,0,0,0,0,0,0,0,0,0,0,0,0
HU_0880,Siklósnagyfalu,273,142,2,0,53,70,0,0,3,4,0,0,9,1,0,0,0,0
HU_2347,Somberek,1444,950,15,0,522,278,13,6,52,54,0,7,2,1,0,0,0,0
HU_2380,Somogyapáti,424,265,7,0,69,166,5,0,8,9,0,0,0,1,0,0,0,0
HU_2507,Somogyhatvan,271,160,3,0,41,107,1,0,4,3,0,1,0,0,0,0,0,0
HU_2914,Somogyhárságy,369,234,2,0,61,148,3,1,10,6,1,1,0,1,0,0,0,0
HU_2128,Somogyviszló,199,130,4,0,48,71,0,0,3,4,0,0,0,0,0,0,0,0
HU_3171,Sósvertike,149,104,2,0,50,48,0,0,1,1,2,0,0,0,0,0,0,0
HU_0254,Sumony,351,211,1,0,90,110,4,1,1,3,1,0,0,0,0,0,0,0
HU_1507,Szabadszentkirály,648,447,6,0,224,177,8,0,15,15,0,1,1,0,0,0,0,0
HU_0847,Szajk,654,468,10,0,275,122,1,1,24,33,0,2,0,0,0,0,0,0
HU_0900,Szalatnak,337,207,2,0,69,116,0,3,10,6,0,0,1,0,0,0,0,0
HU_2225,Szalánta,959,606,6,0,289,242,10,1,15,41,1,1,0,0,0,0,0,0
HU_3403,Szaporca,196,126,4,0,72,41,3,0,4,2,0,0,0,0,0,0,0,0
HU_3106,Szava,259,177,1,0,72,78,3,2,5,13,2,0,0,1,0,0,0,0
HU_2750,Szágy,134,113,1,0,83,24,0,0,0,2,1,0,2,0,0,0,0,0
HU_0736,Szárász,48,33,1,0,4,26,0,0,1,1,0,0,0,0,0,0,0,0
HU_3376,Szászvár,2188,1397,6,0,381,817,19,7,85,72,3,0,1,6,0,0,0,0
HU_0301,Szebény,367,251,1,0,178,54,1,6,4,6,0,0,1,0,0,0,0,0
